Sample ID,Absorbance_nm,Concentration_mg_dL,Real Concentration mg_dL,cohort,zt,Condition
Standard 1,0.902199984,500,500,standard,standard,standard 1
Standard 2,0.4903,250,250,standard,standard,standard 2
Standard 3,0.217899993,125,125,standard,standard,standard 3
Standard 4,0.134900004,62.5,62.5,standard,standard,standard 4
Standard 5,0.1065,31.25,31.25,standard,standard,standard 5
Standard 6,0.049199998,0,0,standard,standard,standard 6
Standard 1,1.012099981,500,500,standard,standard,standard 1
Standard 2,0.354099989,250,250,standard,standard,standard 2
Standard 3,0.209700003,125,125,standard,standard,standard 3
Standard 4,0.145199999,62.5,62.5,standard,standard,standard 4
Standard 5,0.097400002,31.25,31.25,standard,standard,standard 5
Standard 6,0.049199998,0,0,standard,standard,standard 6
3N,0.642199993,344.1111073,688.2222146,HCC,ZT13,FT
3L,0.421200007,221.3333373,442.6666747,HCC,ZT13,FT
3R,0.273900002,139.5000012,279.0000025,HCC,ZT1,FT
3B,0.290800005,148.8888918,297.7777836,HCC,ZT1,FT
4N,0.62349999,333.7222164,667.4444328,HCC,ZT13,FT
4L,0.550599992,293.2222179,586.4444359,HCC,ZT1,FT
4R,0.2368,118.8888889,237.7777779,HCC,ZT13,FT
4B,0.241099998,121.2777769,242.5555537,HCC,ZT1,FT
5N,0.422399998,221.9999987,443.9999975,HCC,ZT1,FT
5L,0.337199986,174.6666589,349.3333178,HCC,ZT13,FT
5R,0.379999995,198.4444418,396.8888836,HCC,ZT13,FT
5B,0.176599994,85.44444128,170.8888826,HCC,ZT13,FT
5LL,0.499000013,264.5555627,529.1111254,HCC,ZT1,FT
6N,0.436199993,229.6666627,459.3333254,HCC,ZT13,FT
6L,0.223000005,111.2222249,222.4444499,HCC,ZT1,FT
6R,0.31220001,160.7777832,321.5555665,HCC,ZT13,FT
6B,0.201399997,99.22222049,198.444441,HCC,ZT1,FT
6LL,0.299899995,153.9444418,307.8888837,HCC,ZT1,FT
10N,0.290300012,148.6111176,297.2222351,HCC,ZT1,FT
10L,0.40990001,215.0555609,430.1111218,HCC,ZT13,FT
10R,0.413700014,217.1666746,434.3333493,HCC,ZT13,FT
10B,0.249500006,125.944448,251.888896,HCC,ZT1,FT
7N,0.535099983,284.6111018,569.2222036,HCC,ZT13,FA
7L,0.465000004,245.6666687,491.3333373,HCC,ZT1,FA
7R,0.723699987,389.3888816,778.7777633,HCC,ZT13,FA
7B,0.541599989,288.2222161,576.4444322,HCC,ZT1,FA
8N,0.537800014,286.1111189,572.2222378,HCC,ZT13,FA
8L,0.565599978,301.5555433,603.1110866,HCC,ZT13,FA
8B,0.385699987,201.6111041,403.2222082,HCC,ZT1,FA
9aN,0.571200013,304.666674,609.333348,HCC,ZT1,FA
9aL,0.608699977,325.4999874,650.9999749,HCC,ZT1,FA
9aR,0.642199993,344.1111073,688.2222146,HCC,ZT13,FA
9bN,0.978200018,530.777788,1061.555576,HCC,ZT13,NA_
9bB,0.767099977,413.499987,826.9999739,HCC,ZT1,NA_
11L,0.25060001,126.5555612,253.1111224,HCC,ZT1,NA_
11B,0.597500026,319.2777923,638.5555847,HCC,ZT13,NA_
12N,0.624899983,334.4999908,668.9999816,HCC,ZT13,NA_
12R,0.255299985,129.1666586,258.3333171,HCC,ZT13,NA_
12B,0.698800027,375.5555708,751.1111415,HCC,ZT1,NA_
13N,0.467099994,246.8333302,493.6666605,NASH,ZT1,FT
13L,0.54460001,289.8888944,579.7777888,NASH,ZT1,FT
13R,0.537500024,285.9444577,571.8889154,NASH,ZT13,FT
14N,0.399399996,209.2222199,418.4444398,NASH,ZT1,FT
14L,0.518100023,275.1666796,550.3333592,NASH,ZT13,FT
14R,0.4736,250.4444445,500.888889,NASH,ZT13,FT
15N,0.513999999,272.8888881,545.7777762,NASH,ZT13,FT
15L,0.430299997,226.3888874,452.7777748,NASH,ZT13,FT
15R,0.497999996,263.9999977,527.9999955,NASH,ZT1,FT
16N,0.406199992,212.9999954,425.9999908,NASH,ZT1,FT
16L,0.46540001,245.8888946,491.7777893,NASH,ZT1,FT
16R,0.274800003,140.0000014,280.0000029,NASH,ZT13,FT
17N,0.587000012,313.4444513,626.8889027,NASH,ZT13,FA
17L,0.650300026,348.6111255,697.222251,NASH,ZT13,FA
17R,0.540899992,287.8333289,575.6666578,NASH,ZT1,FA
18N,0.582899988,311.1666598,622.3333197,NASH,ZT1,FA
18L,0.631600022,338.2222346,676.4444692,NASH,ZT13,FA
18R,0.242200002,121.88889,243.7777801,NASH,ZT1,FA
19N,0.321200013,165.7777851,331.5555702,NASH,ZT1,FA
19L,0.46329999,244.7222165,489.444433,NASH,ZT13,FA
19R,0.409200013,214.6666737,429.3333474,NASH,ZT1,FA
20N,0.540799975,287.7777641,575.5555282,NASH,ZT13,FA
20L,0.471700013,249.3888959,498.7777919,NASH,ZT13,FA
20R,0.545300007,290.2777816,580.5555632,NASH,ZT1,FA
21N,0.673099995,361.2777748,722.5555496,NASH,ZT1,NA_
21L,0.706200004,379.6666687,759.3333374,NASH,ZT13,NA_
21R,0.777100027,419.0555703,838.1111407,NASH,ZT13,NA_
22N,0.771399975,415.8888749,831.7777498,NASH,ZT1,NA_
22L,0.834100008,450.7222267,901.4444533,NASH,ZT13,NA_
22R,0.90990001,492.8333387,985.6666774,NASH,ZT1,NA_
23N,0.801400006,432.5555588,865.1111176,NASH,ZT13,NA_
23L,0.394199997,206.3333318,412.6666635,NASH,ZT1,NA_
23R,0.902999997,488.9999984,977.9999968,NASH,ZT13,NA_
24N,0.611599982,327.111101,654.222202,NASH,ZT1,NA_
24L,0.989099979,536.8333219,1073.666644,NASH,ZT13,NA_
24R,0.855199993,462.4444404,924.8888807,NASH,ZT1,NA_
6B_control,0.190300003,93.05555705,186.1111141,control,control,control
8N_control,0.174600005,84.33333619,168.6666724,control,control,control
8B_control,0.164499998,78.72222116,157.4444423,control,control,control